3PARA RAT
Nebulae
Neoichor
Nerex
Net
Net Crawler
NETEAGLE
netsh
netstat
NetTraveler
Netwalker
NETWIRE
NGLite
ngrok
Nidiran
NightClub
TINYTYPHON
TinyZBot
Ninja
njRAT
NKAbuse
Nltest
NOKKI
NotCompatible
NotPetya
OBAD
ObliqueRAT
OceanSalt
Octopus
Okrum
OLDBAIT
OldBoot
Olympic Destroyer
OnionDuke
OopsIE
Orz
OSInfo
OSX/Shlayer
OSX_OCEANLOTUS.D
Out1
OutSteel
OwaAuth
P.A.S. Webshell
P2P ZeuS
P8RAT
PACEMAKER
Pacu
Pallas
Pandora
Pasam
Pass-The-Hash Toolkit
Pay2Key
Pcexter
PcShare
Pegasus for Android
Pegasus for iOS
Peirates
Penquin
Peppy
Phenakite
PHOREAL
Pillowmint
PinchDuke
Ping
PingPull
PipeMon
Pisloader
PITSTOP
PJApps
PLAINTEE
PLC-Blaster
PLEAD
PlugX
pngdowner
PoetRAT
PoisonIvy
PolyglotDuke
Pony
POORAIM
PoshC2
POSHSPY
Power Loader
PowerDuke
PowerLess
PowerPunch
PowerShower
POWERSOURCE
PowerSploit
PowerStallion
POWERSTATS
POWERTON
PowGoop
POWRUNER
Prestige
Prikormka
ProLock
Proton
Proxysvc
PS1
PsExec
Psylo
Pteranodon
PULSECHECK
PUNCHBUGGY
PUNCHTRACK
Pupy
pwdump
PyDCrypt
Pysa
QakBot
QUADAGENT
QuasarRAT
QUIETCANARY
QUIETEXIT
QuietSieve
Ragnar Locker
Raindrop
RainyDay
Ramsay
RAPIDPULSE
RARSTONE
RATANKBA
RawDisk
RawPOS
Rclone
RCSAndroid
RCSession
RDAT
RDFSNIFFER
Reaver
Red Alert 2.0
RedDrop
RedLeaves
Reg
RegDuke
Regin
Remcos
Remexi
RemoteCMD
RemoteUtilities
Remsec
Responder
Revenge RAT
REvil
RGDoor
Rifdoor
Riltok
RIPTIDE
Rising Sun
ROADTools
RobbinHood
ROCKBOOT
RogueRobin
ROKRAT
RotaJakiro
Rotexy
route
Rover
Royal
RTM
Rubeus
Ruler
RuMMS
RunningRAT
Ryuk
S-Type
S.O.V.A.
Saint Bot
Sakula
SamSam
Samurai
Sardonic
schtasks
SDBbot
SDelete
SeaDuke
Seasalt
SEASHARPEE
ServHelper
Seth-Locker
ShadowPad
Shamoon
Shark
SharkBot
SharpDisco
SharpStage
SHARPSTATS
ShiftyBug
ShimRat
ShimRatReporter
SHIPSHAPE
SHOTPUT
SHUTTERSPEED
Sibot
SideTwist
SILENTTRINITY
SilkBean
Siloscape
SimBad
Skeleton Key
Skidmap
Skygofree
SLIGHTPULSE
Sliver
SLOTHFULMEDIA
SLOWDRIFT
SLOWPULSE
Small Sieve
Smoke Loader
SMOKEDHAM
Snip3
SNUGRIDE
SocGholish
Socksbot
SodaMaster
SombRAT
SoreFang
SOUNDBITE
SPACESHIP
Spark
SpeakUp
SpicyOmelette
spwebmember
SpyDealer
SpyNote RAT
sqlmap
SQLRat
Squirrelwaffle
SslMM
Starloader
STARWHALE
STEADYPULSE
Stealth Mango
StoneDrill
StreamEx
StrifeWater
StrongPity
Stuxnet
SUGARDUMP
SUGARUSH
Sunbird
SUNBURST
SUNSPOT
SUPERNOVA
SVCReady
Sykipot
SynAck
SYNful Knock
Sys10
SYSCON
Systeminfo
SysUpdate
T9000
Taidoor
TAINTEDSCRIBE
TajMahal
Tangelo
TangleBot
Tarrask
Tasklist
TDTESS
TEARDROP
TERRACOTTA
TEXTMATE
ThiefQuest
ThreatNeedle
TianySpy
Tiktok Pro
TinyTurla
Tomiris
Tor
Torisma
TrailBlazer
Triada
TrickBot
TrickMo
Triton
Trojan-SMS.AndroidOS.Agent.ao
Trojan-SMS.AndroidOS.FakeInst.a
Trojan-SMS.AndroidOS.OpFake.a
Trojan.Karagany
Trojan.Mebromi
Truvasys
TSCookie
Turian
TURNEDUP
Twitoor
TYPEFRAME
UACMe
UBoatRAT
Umbreon
Unknown Logger
UPPERCUT
Uroburos
Ursnif
USBferry
USBStealer
Valak
VaporRage
Vasport
VBShower
VERMIN
ViceLeaker
ViperRAT
Volgmer
VPNFilter
WannaCry
WARPWIRE
WarzoneRAT
WastedLocker
Waterbear
WEBC2
WellMail
WellMess
Wevtutil
WhisperGate
Wiarp
Windows Credential Editor
WINDSHIELD
WindTail
WINERACK
Winexe
Wingbird
WinMM
Winnti for Linux
Winnti for Windows
Wiper
WIREFIRE
WireLurker
WolfRAT
Woody RAT
X-Agent for Android
XAgentOSX
Xbash
Xbot
xCaon
xCmd
XcodeGhost
XCSSET
XLoader for Android
XLoader for iOS
XTunnel
YAHOYAH
YiSpecter
yty
Zebrocy
Zen
ZergHelper
Zeroaccess
ZeroT
Zeus Panda
ZIPLINE
ZLib
Zox
zwShell
ZxShell
ZxxZ
